Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"INNATE PHARMA";FR0010331421;IPH;"Euronext Paris";EUR;2.58;2.625;2.51;2.515;"26/01/2024 17:35";CET;146062;376368.745;2.515;26/01/2024
INTERPARFUMS;FR0004024222;ITP;"Euronext Paris";EUR;46.35;48.30;46.35;48.10;"26/01/2024 17:35";CET;74441;3543399.10;48.10;26/01/2024
INTEXA;FR0000064958;ITXT;"Euronext Paris";EUR;2.90;2.90;2.90;2.90;"22/01/2024 11:30";CET;2;5.80;2.90;26/01/2024
INVENTIVA;FR0013233012;IVA;"Euronext Paris";EUR;3.50;3.60;3.485;3.50;"26/01/2024 17:35";CET;29054;102960.175;3.50;26/01/2024
IPSEN;FR0010259150;IPN;"Euronext Paris";EUR;107.30;108.50;107.30;107.70;"26/01/2024 17:36";CET;44442;4789619.10;107.70;26/01/2024
IPSOS;FR0000073298;IPS;"Euronext Paris";EUR;61.55;61.55;60.70;61.05;"26/01/2024 17:35";CET;37955;2315939.10;61.05;26/01/2024
ITESOFT;FR0004026151;ITE;"Euronext Paris";EUR;3.92;3.92;3.92;3.92;"26/01/2024 13:07";CET;2;7.84;3.92;26/01/2024
"JACQUES BOGART";FR0012872141;JBOG;"Euronext Paris";EUR;5.86;5.86;5.52;5.86;"26/01/2024 16:59";CET;2546;14337.64;5.86;26/01/2024
"JACQUET METALS";FR0000033904;JCQ;"Euronext Paris";EUR;17.96;18.06;17.88;17.96;"26/01/2024 17:35";CET;4496;80833.06;17.96;26/01/2024
JCDECAUX;FR0000077919;DEC;"Euronext Paris";EUR;19.47;19.60;18.74;18.87;"26/01/2024 17:35";CET;208331;3967160.43;18.87;26/01/2024
"KAUFMAN ET BROAD";FR0004007813;KOF;"Euronext Paris";EUR;29.45;29.90;29.20;29.65;"26/01/2024 17:35";CET;9438;280005.55;29.65;26/01/2024
KERING;FR0000121485;KER;"Euronext Paris";EUR;371.55;389.80;371.30;384.80;"26/01/2024 17:36";CET;551777;210987378.90;384.80;26/01/2024
KLEPIERRE;FR0000121964;LI;"Euronext Paris";EUR;23.70;23.94;23.49;23.82;"26/01/2024 17:38";CET;683717;16282905.11;23.82;26/01/2024
L'OREAL;FR0000120321;OR;"Euronext Paris";EUR;436.00;446.50;436.00;445.10;"26/01/2024 17:36";CET;338010;149942262.05;445.10;26/01/2024
"LACROIX GROUP";FR0000066607;LACR;"Euronext Paris";EUR;30.60;30.70;29.90;30.20;"26/01/2024 17:35";CET;898;27227.70;30.20;26/01/2024
"LAGARDERE SA";FR0000130213;MMB;"Euronext Paris";EUR;18.00;18.20;17.96;17.96;"26/01/2024 17:35";CET;10418;187811.48;17.96;26/01/2024
LATECOERE;FR001400JY13;LAT;"Euronext Paris";EUR;0.0173;0.0178;0.0173;0.0174;"26/01/2024 17:35";CET;1612717;28285.1425;0.0174;26/01/2024
LAURENT-PERRIER;FR0006864484;LPE;"Euronext Paris";EUR;125.50;128.50;125.00;125.00;"26/01/2024 17:35";CET;103;13126.00;125.00;26/01/2024
LDC;FR0013204336;LOUP;"Euronext Paris";EUR;132.50;136.00;130.50;135.50;"26/01/2024 17:35";CET;1472;196523.00;135.50;26/01/2024
LECTRA;FR0000065484;LSS;"Euronext Paris";EUR;31.65;32.95;31.55;32.90;"26/01/2024 17:35";CET;27885;898881.05;32.90;26/01/2024
"LECTRA NV24";FR001400MMI2;LSSNV;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;31.25;26/01/2024
LEGRAND;FR0010307819;LR;"Euronext Paris";EUR;90.32;91.04;89.52;90.34;"26/01/2024 17:35";CET;553550;50021142.50;90.34;26/01/2024
LHYFE;FR0014009YQ1;LHYFE;"Euronext Paris";EUR;4.81;4.81;4.62;4.65;"26/01/2024 17:35";CET;10560;50013.225;4.65;26/01/2024
"LINEDATA SERVICES";FR0004156297;LIN;"Euronext Paris";EUR;58.60;58.80;58.60;58.80;"26/01/2024 15:55";CET;57;3349.40;58.80;26/01/2024
LISI;FR0000050353;FII;"Euronext Paris";EUR;21.85;22.00;21.65;21.85;"26/01/2024 17:35";CET;14652;319626.80;21.85;26/01/2024
"LNA SANTE";FR0004170017;LNA;"Euronext Paris";EUR;19.60;19.78;19.42;19.54;"26/01/2024 17:35";CET;1635;31936.30;19.54;26/01/2024
LUMIBIRD;FR0000038242;LBIRD;"Euronext Paris";EUR;10.94;10.94;10.40;10.48;"26/01/2024 17:35";CET;17897;189868.24;10.48;26/01/2024
LVMH;FR0000121014;MC;"Euronext Paris";EUR;732.00;779.90;728.80;773.10;"26/01/2024 17:38";CET;1519188;1154777141.40;773.10;26/01/2024
M.R.M;FR00140085W6;MRM;"Euronext Paris";EUR;19.00;19.20;19.00;19.20;"26/01/2024 16:30";CET;101;1939.00;19.20;26/01/2024
"MAAT PHARMA";FR0012634822;MAAT;"Euronext Paris";EUR;7.08;7.24;7.08;7.16;"26/01/2024 17:35";CET;160;1150.48;7.16;26/01/2024
"MAISONS DU MONDE";FR0013153541;MDM;"Euronext Paris";EUR;4.54;4.64;4.49;4.64;"26/01/2024 17:35";CET;32764;149493.726;4.64;26/01/2024
"MALTERIES FCO-BEL.";FR0000030074;MALT;"Euronext Paris";EUR;590.00;600.00;590.00;600.00;"26/01/2024 16:30";CET;30;17840.00;600.00;26/01/2024
"MANITOU BF";FR0000038606;MTU;"Euronext Paris";EUR;20.30;21.20;20.30;20.60;"26/01/2024 17:35";CET;44723;923190.05;20.60;26/01/2024
"MAROC TELECOM";MA0000011488;IAM;"Euronext Paris";EUR;9.65;9.65;9.30;9.45;"26/01/2024 17:23";CET;3038;28787.85;9.45;26/01/2024
"MAUREL ET PROM";FR0000051070;MAU;"Euronext Paris";EUR;5.54;5.545;5.435;5.52;"26/01/2024 17:36";CET;189846;1043508.165;5.52;26/01/2024
MBWS;FR0000060873;MBWS;"Euronext Paris";EUR;2.75;2.80;2.73;2.80;"26/01/2024 17:35";CET;13549;37646.23;2.80;26/01/2024
"MCPHY ENERGY";FR0011742329;MCPHY;"Euronext Paris";EUR;2.762;2.84;2.762;2.802;"26/01/2024 17:35";CET;41676;116832.072;2.802;26/01/2024
"MEDIA 6";FR0000064404;EDI;"Euronext Paris";EUR;8.50;8.50;8.30;8.30;"09/01/2024 16:44";CET;25;207.70;8.30;26/01/2024
MEDINCELL;FR0004065605;MEDCL;"Euronext Paris";EUR;8.24;8.34;8.08;8.24;"26/01/2024 17:35";CET;35836;294252.53;8.24;26/01/2024
"MEMSCAP REGPT";FR0010298620;MEMS;"Euronext Paris";EUR;6.70;6.84;6.58;6.82;"26/01/2024 17:35";CET;30609;205644.94;6.82;26/01/2024
MERCIALYS;FR0010241638;MERY;"Euronext Paris";EUR;10.98;11.04;10.91;10.97;"26/01/2024 17:36";CET;221095;2429699.58;10.97;26/01/2024
MERSEN;FR0000039620;MRN;"Euronext Paris";EUR;32.35;34.20;32.20;33.80;"26/01/2024 17:35";CET;114942;3838553.25;33.80;26/01/2024
"METABOLIC EXPLORER";FR0004177046;METEX;"Euronext Paris";EUR;0.3795;0.3795;0.37;0.3715;"26/01/2024 16:53";CET;11287;4220.9165;0.3715;26/01/2024
"METROPOLE TV";FR0000053225;MMT;"Euronext Paris";EUR;13.05;13.15;12.97;12.99;"26/01/2024 17:35";CET;58091;757631.96;12.99;26/01/2024
MICHELIN;FR001400AJ45;ML;"Euronext Paris";EUR;31.05;31.50;31.01;31.25;"26/01/2024 17:38";CET;1372844;42944129.49;31.25;26/01/2024
"MONCEY (FIN.) NOM.";FR0000076986;FMONC;"Euronext Paris";EUR;7650.00;7700.00;7550.00;7650.00;"26/01/2024 17:35";CET;37;282850.00;7650.00;26/01/2024
MONTEA;BE0003853703;MONT;"Euronext Brussels, Paris";EUR;80.90;80.90;79.50;79.90;"26/01/2024 17:35";CET;13342;1066537.80;79.90;26/01/2024
MYHOTELMATCH;FR001400IE67;MHM;"Euronext Paris";EUR;0.86;0.88;0.86;0.879;"26/01/2024 17:35";CET;10846;9442.9447;0.879;26/01/2024
NACON;FR0013482791;NACON;"Euronext Paris";EUR;1.77;1.78;1.702;1.742;"26/01/2024 17:35";CET;54368;94155.142;1.742;26/01/2024
NANOBIOTIX;FR0011341205;NANO;"Euronext Paris";EUR;6.92;7.20;6.91;7.17;"26/01/2024 17:35";CET;78614;555244.80;7.17;26/01/2024
NEOEN;FR0011675362;NEOEN;"Euronext Paris";EUR;26.40;26.68;26.22;26.36;"26/01/2024 17:35";CET;78372;2068938.42;26.36;26/01/2024
NEURONES;FR0004050250;NRO;"Euronext Paris";EUR;45.00;45.00;44.75;44.95;"26/01/2024 17:35";CET;1570;70480.20;44.95;26/01/2024
NEXANS;FR0000044448;NEX;"Euronext Paris";EUR;86.25;86.60;85.20;85.75;"26/01/2024 17:36";CET;79559;6828048.50;85.75;26/01/2024
NEXITY;FR0010112524;NXI;"Euronext Paris";EUR;15.19;15.31;15.00;15.26;"26/01/2024 17:35";CET;94972;1443787.92;15.26;26/01/2024
NHOA;FR0012650166;NHOA;"Euronext Paris";EUR;0.73;0.73;0.704;0.73;"26/01/2024 17:35";CET;23423;16890.968;0.73;26/01/2024
NOKIA;FI0009000681;NOKIA;"Euronext Paris";EUR;3.50;3.53;3.401;3.527;"26/01/2024 17:35";CET;424214;1476022.0955;3.527;26/01/2024
NR21;FR0014001PV6;NR21;"Euronext Paris";EUR;57.00;57.00;57.00;57.00;"26/01/2024 17:35";CET;9;513.00;57.00;26/01/2024
"NRJ GROUP";FR0000121691;NRG;"Euronext Paris";EUR;7.48;7.48;7.42;7.48;"26/01/2024 17:35";CET;7479;55670.70;7.48;26/01/2024
OENEO;FR0000052680;SBT;"Euronext Paris";EUR;12.00;12.05;11.90;12.00;"26/01/2024 17:35";CET;2284;27409.95;12.00;26/01/2024
"OL GROUPE";FR0010428771;OLG;"Euronext Paris";EUR;1.99;2.02;1.96;2.02;"26/01/2024 17:35";CET;3201;6340.825;2.02;26/01/2024
ORANGE;FR0000133308;ORA;"Euronext Paris";EUR;11.196;11.228;11.12;11.172;"26/01/2024 17:35";CET;3834054;42849557.756;11.172;26/01/2024
ORAPI;FR0000075392;ORAP;"Euronext Paris";EUR;6.48;6.50;6.46;6.48;"26/01/2024 16:59";CET;12474;80791.62;6.48;26/01/2024
OREGE;FR0010609206;OREGE;"Euronext Paris";EUR;0.413;0.451;0.404;0.45;"26/01/2024 17:26";CET;95206;41500.217;0.45;26/01/2024
ORPEA;FR0000184798;ORP;"Euronext Paris";EUR;0.014;0.0142;0.0139;0.014;"26/01/2024 17:36";CET;79452807;1113954.2496;0.014;26/01/2024
"ORPEA DS";FR001400MXO7;ORPDS;"Euronext Paris";EUR;0.0001;0.0001;0.0001;0.0001;"26/01/2024 17:35";CET;2147483647;339600.1075;0.0001;26/01/2024
"OSE IMMUNO";FR0012127173;OSE;"Euronext Paris";EUR;3.85;3.975;3.85;3.935;"26/01/2024 17:35";CET;32700;128041.205;3.935;26/01/2024
OVH;FR0014005HJ9;OVH;"Euronext Paris";EUR;9.70;10.09;9.70;10.09;"26/01/2024 17:35";CET;96781;966128.715;10.09;26/01/2024
PAREF;FR0010263202;PAR;"Euronext Paris";EUR;44.20;44.60;44.20;44.40;"26/01/2024 17:17";CET;28;1248.00;44.40;26/01/2024
PARROT;FR0004038263;PARRO;"Euronext Paris";EUR;2.81;2.92;2.80;2.89;"26/01/2024 17:35";CET;6629;18942.00;2.89;26/01/2024
PASSAT;FR0000038465;PSAT;"Euronext Paris";EUR;4.66;4.66;4.66;4.66;"26/01/2024 13:38";CET;85;396.10;4.66;26/01/2024
"PATRIMOINE ET COMM";FR0011027135;PAT;"Euronext Paris";EUR;17.95;18.10;17.90;18.10;"26/01/2024 16:51";CET;798;14359.55;18.10;26/01/2024
"PERNOD RICARD";FR0000120693;RI;"Euronext Paris";EUR;153.65;157.30;153.00;156.55;"26/01/2024 17:39";CET;955739;148975018.20;156.55;26/01/2024
"PERRIER (GERARD)";FR0000061459;PERR;"Euronext Paris";EUR;100.00;101.00;100.00;100.00;"26/01/2024 17:35";CET;128;12861.00;100.00;26/01/2024
"PEUGEOT INVEST";FR0000064784;PEUG;"Euronext Paris";EUR;98.70;99.10;98.10;98.70;"26/01/2024 17:35";CET;3800;375097.30;98.70;26/01/2024
"PHAXIAM Tx";FR001400K4B1;PHXM;"Euronext Paris";EUR;4.11;4.135;4.01;4.10;"26/01/2024 17:35";CET;2452;9944.67;4.10;26/01/2024
"PIERRE VAC BSA ACT";FR001400B4H9;VACBS;"Euronext Paris";EUR;0.132;0.142;0.1305;0.1305;"26/01/2024 16:01";CET;17041;2370.8035;0.1305;26/01/2024
"PIERRE VAC BSA CRE";FR001400B4G1;VACBT;"Euronext Paris";EUR;0.36;0.36;0.36;0.36;"20/12/2023 13:18";CET;1898;683.28;0.36;26/01/2024
"PIERRE VACANCES";FR0000073041;VAC;"Euronext Paris";EUR;1.438;1.438;1.418;1.42;"26/01/2024 17:35";CET;196791;280058.208;1.42;26/01/2024
"PLAST.VAL LOIRE";FR0013252186;PVL;"Euronext Paris";EUR;3.32;3.37;3.30;3.37;"26/01/2024 17:35";CET;2516;8406.06;3.37;26/01/2024
"PLASTIC OMNIUM";FR0000124570;POM;"Euronext Paris";EUR;10.53;10.78;10.47;10.75;"26/01/2024 17:35";CET;226661;2418088.05;10.75;26/01/2024
POXEL;FR0012432516;POXEL;"Euronext Paris";EUR;0.451;0.4795;0.451;0.4765;"26/01/2024 17:35";CET;96907;45590.473;0.4765;26/01/2024
"PROACTIS SA";FR0004052561;PROAC;"Euronext Paris";EUR;0.08;0.08;0.08;0.08;"26/01/2024 11:43";CET;20;1.60;0.08;26/01/2024
PRODWAYS;FR0012613610;PWG;"Euronext Paris";EUR;0.91;0.91;0.901;0.902;"26/01/2024 17:35";CET;4011;3615.993;0.902;26/01/2024
"PUBLICIS GROUPE SA";FR0000130577;PUB;"Euronext Paris";EUR;91.82;93.20;91.50;92.38;"26/01/2024 17:35";CET;520859;48135809.76;92.38;26/01/2024
QUADIENT;FR0000120560;QDT;"Euronext Paris";EUR;19.64;19.66;19.50;19.58;"26/01/2024 17:35";CET;16039;314064.16;19.58;26/01/2024
RALLYE;FR0000060618;RAL;"Euronext Paris";EUR;0.124;0.126;0.121;0.121;"26/01/2024 17:35";CET;382298;47037.2382;0.121;26/01/2024
"RAMSAY GEN SANTE";FR0000044471;GDS;"Euronext Paris";EUR;18.65;18.70;18.50;18.70;"26/01/2024 17:35";CET;190;3544.85;18.70;26/01/2024
"REMY COINTREAU";FR0000130395;RCO;"Euronext Paris";EUR;96.24;103.65;96.24;101.25;"26/01/2024 17:37";CET;553969;55624552.63;101.25;26/01/2024
RENAULT;FR0000131906;RNO;"Euronext Paris";EUR;34.255;34.525;34.015;34.355;"26/01/2024 17:35";CET;840068;28850572.695;34.355;26/01/2024
REXEL;FR0010451203;RXL;"Euronext Paris";EUR;24.90;25.10;24.60;24.91;"26/01/2024 17:35";CET;452028;11257540.16;24.91;26/01/2024
ROBERTET;FR0000039091;RBT;"Euronext Paris";EUR;791.00;808.00;791.00;807.00;"26/01/2024 17:37";CET;444;355359.00;807.00;26/01/2024
"ROBERTET CDV 87";FR0000045619;CBR;"Euronext Paris";EUR;188.00;188.00;188.00;188.00;"02/11/2022 11:30";CET;4;752.00;188.00;26/01/2024
"ROBERTET CI";FR0000045601;CBE;"Euronext Paris";EUR;761.00;761.50;761.00;761.50;"26/01/2024 16:34";CET;13;9894.50;761.50;26/01/2024
"ROCHE BOBOIS";FR0013344173;RBO;"Euronext Paris";EUR;48.00;48.50;48.00;48.10;"26/01/2024 17:35";CET;760;36567.10;48.10;26/01/2024
RUBIS;FR0013269123;RUI;"Euronext Paris";EUR;23.54;23.76;23.48;23.68;"26/01/2024 17:35";CET;104789;2480745.38;23.68;26/01/2024
S.E.B.;FR0000121709;SK;"Euronext Paris";EUR;108.20;109.30;107.30;107.80;"26/01/2024 17:39";CET;50083;5402217.90;107.80;26/01/2024
"S.T.DUPONT DS";FR001400N0G5;DPTDS;"Euronext Paris";EUR;0.0003;0.0004;0.0002;0.0003;"26/01/2024 17:35";CET;609376;146.8414;0.0003;26/01/2024
SAFRAN;FR0000073272;SAF;"Euronext Paris";EUR;171.36;173.80;171.28;173.80;"26/01/2024 17:35";CET;542725;94009571.56;173.80;26/01/2024
"SAINT GOBAIN";FR0000125007;SGO;"Euronext Paris, Amsterdam, Brussels";EUR;63.58;65.18;63.46;64.57;"26/01/2024 17:38";CET;1194797;77133899.26;64.57;26/01/2024
"SAINT GOBAIN NV24";FR001400M7D8;SGONV;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;66.66;26/01/2024
"SAINT JEAN GROUPE";FR0000060121;SABE;"Euronext Paris";EUR;20.80;20.80;20.80;20.80;"26/01/2024 11:30";CET;6;124.80;20.80;26/01/2024
SAMSE;FR0000060071;SAMS;"Euronext Paris";EUR;200.00;201.00;200.00;200.00;"26/01/2024 17:35";CET;67;13403.00;200.00;26/01/2024
SANOFI;FR0000120578;SAN;"Euronext Paris";EUR;91.67;92.74;91.67;92.08;"26/01/2024 17:39";CET;1429576;131712210.95;92.08;26/01/2024
"SANOFI NV24";FR001400M6Z3;SANNV;"Euronext Paris";EUR;92.00;92.00;92.00;92.00;"26/01/2024 16:30";CET;44;4048.00;92.00;26/01/2024
"SARTORIUS STED BIO";FR0013154002;DIM;"Euronext Paris";EUR;237.20;246.90;232.00;241.40;"26/01/2024 17:36";CET;192423;46148563.20;241.40;26/01/2024
SAVENCIA;FR0000120107;SAVE;"Euronext Paris";EUR;54.00;54.00;53.20;53.40;"26/01/2024 17:35";CET;761;40628.00;53.40;26/01/2024
SCBSM;FR0006239109;CBSM;"Euronext Paris";EUR;9.10;9.10;9.10;9.10;"26/01/2024 12:27";CET;1;9.10;9.10;26/01/2024
SCHLUMBERGER;AN8068571086;SLB;"Euronext Paris";EUR;48.18;48.915;47.925;48.63;"26/01/2024 17:35";CET;5869;284051.39;48.63;26/01/2024
"SCHNEIDER ELECTRIC";FR0000121972;SU;"Euronext Paris";EUR;182.58;184.52;180.98;183.12;"26/01/2024 17:35";CET;688597;126102474.96;183.12;26/01/2024
"SCOR SE";FR0010411983;SCR;"Euronext Paris";EUR;27.84;28.23;27.84;27.89;"26/01/2024 17:35";CET;128569;3593950.08;27.89;26/01/2024
"SECHE ENVIRONNEM.";FR0000039109;SCHP;"Euronext Paris";EUR;116.00;116.20;114.40;115.20;"26/01/2024 17:35";CET;1998;230119.40;115.20;26/01/2024
"SEGRO PLC";GB00B5ZN1N88;SGRO;"Euronext Paris";EUR;11.30;11.30;11.30;11.30;"07/04/2021 13:45";CET;500;5650.00;11.00;26/01/2024
SELCODIS;FR0000065492;SLCO;"Euronext Paris";EUR;0.29;0.29;0.29;0.29;"25/03/2009 00:00";CET;2074;601.46;0.29;26/01/2024
SELECTIRENTE;FR0004175842;SELER;"Euronext Paris";EUR;92.00;92.00;92.00;92.00;"26/01/2024 11:30";CET;51;4692.00;92.00;26/01/2024
"SERGEFERRARI GROUP";FR0011950682;SEFER;"Euronext Paris";EUR;6.48;6.48;6.38;6.40;"26/01/2024 17:35";CET;3064;19719.19;6.40;26/01/2024
SES;LU0088087324;SESG;"Euronext Paris";EUR;5.89;6.015;5.835;5.99;"26/01/2024 17:36";CET;396634;2364505.66;5.99;26/01/2024
SHOWROOMPRIVE;FR0013006558;SRP;"Euronext Paris";EUR;1.042;1.06;1.016;1.034;"26/01/2024 17:35";CET;27465;28554.766;1.034;26/01/2024
SII;FR0000074122;SII;"Euronext Paris";EUR;69.90;70.00;69.80;70.00;"26/01/2024 17:35";CET;21641;1514527.80;70.00;26/01/2024
SMCP;FR0013214145;SMCP;"Euronext Paris";EUR;2.89;2.92;2.835;2.88;"26/01/2024 17:35";CET;106572;307286.05;2.88;26/01/2024
"SOC FRANC CASINOS";FR0010209809;SFCA;"Euronext Paris";EUR;1.83;1.83;1.83;1.83;"26/01/2024 11:30";CET;1;1.83;1.83;26/01/2024
"SOCIETE GENERALE";FR0000130809;GLE;"Euronext Paris";EUR;23.61;23.95;23.565;23.75;"26/01/2024 17:35";CET;3157763;75018976.905;23.75;26/01/2024
SODEXO;FR0000121220;SW;"Euronext Paris";EUR;100.35;102.40;99.80;102.10;"26/01/2024 17:35";CET;193594;19716610.71;102.10;26/01/2024
SODITECH;FR0000078321;SEC;"Euronext Paris";EUR;1.32;1.47;1.32;1.47;"26/01/2024 16:30";CET;2472;3385.14;1.47;26/01/2024
SOITEC;FR0013227113;SOI;"Euronext Paris";EUR;135.50;137.50;134.90;136.00;"26/01/2024 17:36";CET;92114;12536412.90;136.00;26/01/2024
